"analysis_set","comparison","direction","evidence_tier","analysis_type","database","ontology","ID","Description","GeneRatio","BgRatio","p_value","adjusted_p_value","q_value","gene_ids","gene_count","enrichment_score","normalized_enrichment_score","set_size","redundancy_pruned","interpretation","analysis_provenance"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","Reactome","Pathway","R-HSA-1474244","Extracellular matrix organization","58/538","313/10634",2.1666285746326e-18,2.35512526062564e-15,2.09592806324986e-15,"ADAMTS1/FBLN2/MFAP5/PECAM1/PCOLCE2/COL14A1/EFEMP1/SSPN/COL16A1/LTBP1/FBN1/DCN/FBLN1/ADAMTS5/HSPG2/SERPINE1/A2M/LAMB2/FBLN5/DDR2/COL6A1/COL5A1/COL18A1/JAM2/LAMA2/PLEC/LTBP2/THBS1/TIMP2/JAM3/SDC2/MFAP4/ACTG2/ITGA7/ADAMTS4/LTBP4/BMP4/LTBP3/COL1A1/COL4A5/CTSG/LOXL1/EMILIN1/CRTAP/ITGA8/NRXN1/COL3A1/CMA1/ACTN1/ITGA5/LUM/SGCE/SGCD/NID1/FGF2/COL4A2/ADAMTS8/ITGA1",58,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","Reactome","Pathway","R-HSA-909733","Interferon alpha/beta signaling","21/538","74/10634",5.0992338441144e-11,2.6222065752217e-08,2.33361530298624e-08,"EGR1/XAF1/PTPN11/EIF2AK2/MX1/MX2/IFIT3/IFIT1/IFITM2/USP18/SOCS1/ISG15/OAS3/BST2/OAS2/IFITM3/IFI35/IRF7/IFITM1/RSAD2/IFIT2",21,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","Reactome","Pathway","R-HSA-1566948","Elastic fibre formation","16/538","42/10634",7.23700066758519e-11,2.6222065752217e-08,2.33361530298624e-08,"FBLN2/MFAP5/EFEMP1/LTBP1/FBN1/FBLN1/FBLN5/LTBP2/MFAP4/LTBP4/BMP4/LTBP3/LOXL1/EMILIN1/ITGA8/ITGA5",16,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","Reactome","Pathway","R-HSA-2129379","Molecules associated with elastic fibres","14/538","35/10634",5.28368206819851e-10,1.43584060203295e-07,1.27781679491433e-07,"FBLN2/MFAP5/EFEMP1/LTBP1/FBN1/FBLN1/FBLN5/LTBP2/MFAP4/LTBP4/BMP4/LTBP3/EMILIN1/ITGA8",14,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","Reactome","Pathway","R-HSA-445355","Smooth Muscle Contraction","14/538","42/10634",8.66486738408696e-09,1.8837421693005e-06,1.67642381599493e-06,"TLN1/ACTG2/TPM2/MYL9/MYH11/CALD1/ANXA6/MYLK/ANXA1/LMOD1/CACNA1H/SORBS1/VCL/ITGA1",14,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","Reactome","Pathway","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","22/538","107/10634",1.38468610922922e-08,2.50858966788693e-06,2.23250269189763e-06,"FOS/CEBPD/S1PR1/JUNB/VIM/RORA/ZEB1/NDN/TWIST1/SOCS1/CD36/CCND1/PTGS2/ANXA1/MYC/CCL2/IL1B/SAA1/BCL6/MUC1/FGF2/LCN2",22,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","Reactome","Pathway","R-HSA-216083","Integrin cell surface interactions","19/538","83/10634",2.15040662495047e-08,3.33927428760165e-06,2.97176494485636e-06,"PECAM1/COL16A1/FBN1/HSPG2/COL6A1/COL5A1/COL18A1/JAM2/THBS1/JAM3/ITGA7/COL1A1/COL4A5/ITGA8/COL3A1/ITGA5/LUM/COL4A2/ITGA1",19,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","Reactome","Pathway","R-HSA-3000171","Non-integrin membrane-ECM interactions","18/538","78/10634",4.43094801524551e-08,6.02055061571484e-06,5.35794898159293e-06,"SSPN/HSPG2/LAMB2/DDR2/COL5A1/LAMA2/THBS1/SDC2/ACTG2/COL1A1/COL4A5/NRXN1/COL3A1/ACTN1/SGCE/SGCD/FGF2/COL4A2",18,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","Reactome","Pathway","R-HSA-114608","Platelet degranulation","22/538","122/10634",1.64977155953163e-07,1.99255742801209e-05,1.77326323182406e-05,"PECAM1/VEGFC/CLU/SERPING1/SERPINA3/MMRN1/SERPINE1/TLN1/A2M/ISLR/PCYOX1L/PCDH7/SELP/FLNA/THBS1/CFD/CD36/RARRES2/PROS1/ACTN1/CALU/VCL",22,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","Reactome","Pathway","R-HSA-913531","Interferon Signaling","34/538","257/10634",2.36093171328843e-07,2.56633277234453e-05,2.28389078369692e-05,"EGR1/RANBP2/TUBA1A/TUBB6/XAF1/PTPN11/FLNA/TUBB2B/EIF2AK2/HERC5/MX1/MX2/IFIT3/IFIT1/IFITM2/IFI44/USP18/SOCS1/ISG15/IFI44L/TRIM22/TUBB2A/OAS3/BST2/OAS2/IFITM3/UBE2L6/IFI35/IRF7/GBP1/IFITM1/RSAD2/HSPA2/IFIT2",34,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","Reactome","Pathway","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","22/538","127/10634",3.42538685070645e-07,3.38490500610719e-05,3.0123736993294e-05,"PECAM1/VEGFC/CLU/SERPING1/SERPINA3/MMRN1/SERPINE1/TLN1/A2M/ISLR/PCYOX1L/PCDH7/SELP/FLNA/THBS1/CFD/CD36/RARRES2/PROS1/ACTN1/CALU/VCL",22,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","Reactome","Pathway","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","21/538","121/10634",6.12973047055335e-07,5.55251418457624e-05,4.9414230723145e-05,"C3/IGFBP6/FSTL1/SCG2/LTBP1/FBN1/SPARCL1/LAMB2/FAM20C/IGFBP3/SDC2/BMP4/CP/CKAP4/CTSG/CHRDL1/APOL1/CALU/CDH2/PENK/LGALS1",21,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
"provisional_field_up","adjacent_vs_healthy_u1","up","provisional","over_representation","Reactome","Pathway","R-HSA-8957275","Post-translational protein phosphorylation","19/538","105/10634",1.08907821040372e-06,9.10636934391422e-05,8.10415283693136e-05,"C3/FSTL1/SCG2/LTBP1/FBN1/SPARCL1/LAMB2/FAM20C/IGFBP3/SDC2/BMP4/CP/CKAP4/CHRDL1/APOL1/CALU/CDH2/PENK/LGALS1",19,NA,NA,NA,FALSE,"association-level pathway result; not causal or cell-intrinsic evidence","raw_cel_rma_tier_specific_enrichment"
