scenario,metric,mean,median,standard_deviation,ci_lower,ci_upper,bootstrap_iterations
age_sex_location_residualized,f1_macro,0.9768906566397482,0.9774562071591775,0.013070717334740632,0.9463295860747034,1.0,1000
age_sex_location_residualized,balanced_accuracy,0.9747343753894708,0.9758689175769613,0.014667588767965084,0.9418532318657398,1.0,1000
age_sex_location_residualized,roc_auc,0.9936273152222662,0.994286840031521,0.00534769250855846,0.980817093175773,1.0,1000
age_sex_location_residualized,brier_score,0.04600260288037634,0.045651535855296424,0.006141512750626461,0.034520470515943334,0.05927044806888619,1000
age_sex_matched_fixed_panel,f1_macro,1.0,1.0,0.0,1.0,1.0,1000
age_sex_matched_fixed_panel,balanced_accuracy,1.0,1.0,0.0,1.0,1.0,1000
age_sex_matched_fixed_panel,roc_auc,1.0,1.0,3.041992348857775e-17,0.9999999999999999,1.0,1000
age_sex_matched_fixed_panel,brier_score,0.037415291510048874,0.0374781959098586,0.0031575262905483123,0.03148949425348266,0.04384077473935819,1000
borderline_sample_excluded_fixed_panel,f1_macro,1.0,1.0,0.0,1.0,1.0,1000
borderline_sample_excluded_fixed_panel,balanced_accuracy,1.0,1.0,0.0,1.0,1.0,1000
borderline_sample_excluded_fixed_panel,roc_auc,1.0,1.0,3.700743415417188e-17,0.9999999999999999,1.0,1000
borderline_sample_excluded_fixed_panel,brier_score,0.018525332956444495,0.018445034468650624,0.0017890091149814172,0.015180106416580259,0.022205575017479245,1000
composition_and_demographic_residualized,f1_macro,0.8471641449879623,0.8473507706840405,0.030820152966073943,0.7859885315382698,0.9063063063063064,1000
composition_and_demographic_residualized,balanced_accuracy,0.8721654689466165,0.8735650961415494,0.027222593745937648,0.8171098053560888,0.9202272487887087,1000
composition_and_demographic_residualized,roc_auc,0.9381610369387083,0.9397645474680358,0.021345743574274552,0.8905152276451618,0.9751741584528579,1000
composition_and_demographic_residualized,brier_score,0.11232006723649914,0.11179749777192582,0.012636152478730251,0.08909654182984962,0.13706422984445524,1000
demographic_only,f1_macro,0.6220232261322229,0.6220096976111875,0.04221291841782547,0.5370010787486516,0.7070833333333333,1000
demographic_only,balanced_accuracy,0.6250000016656757,0.6258456248444113,0.04289002849916703,0.5388837874653141,0.7087799184196333,1000
demographic_only,roc_auc,0.6811301477884079,0.6810410656784307,0.04824130210025899,0.5889581432951969,0.7711677486376631,1000
demographic_only,brier_score,0.22538777281591643,0.2255694255299853,0.007267462208451136,0.21187000436661116,0.23989531959998797,1000
primary_fixed_panel,f1_macro,1.0,1.0,0.0,1.0,1.0,1000
primary_fixed_panel,balanced_accuracy,1.0,1.0,0.0,1.0,1.0,1000
primary_fixed_panel,roc_auc,1.0,1.0,3.54754221013543e-17,0.9999999999999999,1.0,1000
primary_fixed_panel,brier_score,0.018212451882877376,0.01819915368419676,0.001665036196141802,0.01522596667267704,0.02169611886497539,1000
